metric,count
opcode,11
total instruction count,315588
workitems,160
operand sum,315588
total # of barriers hit,800
min instructions to barrier,3
max instructions to barrier,1723
median instructions to barrier,204
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.16869e-06
barriers per instruction,0.00253812
instructions per operand,1
total memory footprint,972
90% memory footprint,82
global memory address entropy,5.45828
local memory address entropy -- 1 LSBs skipped,5.4583
local memory address entropy -- 2 LSBs skipped,5.4583
local memory address entropy -- 3 LSBs skipped,4.7377
local memory address entropy -- 4 LSBs skipped,3.96171
local memory address entropy -- 5 LSBs skipped,3.33015
local memory address entropy -- 6 LSBs skipped,2.53731
local memory address entropy -- 7 LSBs skipped,1.67188
local memory address entropy -- 8 LSBs skipped,1.1542
local memory address entropy -- 9 LSBs skipped,0.56481
local memory address entropy -- 10 LSBs skipped,0.258601
total unique branch instructions,25
90% branch instructions,14
branch entropy (yokota),170.316
branch entropy (average linear),0.215116
