metric,count
opcode,11
total instruction count,93192192
workitems,131072
operand sum,1.22683e+08
total # of barriers hit,0
min instructions to barrier,711
max instructions to barrier,711
median instructions to barrier,711
max simd width,2
mean simd width,1.31646
stdev simd width,0.465093
granularity,1.07305e-08
barriers per instruction,1.07305e-08
instructions per operand,0.759615
total memory footprint,1048577
90% memory footprint,845416
global memory address entropy,11.4402
local memory address entropy -- 1 LSBs skipped,11.4314
local memory address entropy -- 2 LSBs skipped,11.4314
local memory address entropy -- 3 LSBs skipped,11.4314
local memory address entropy -- 4 LSBs skipped,10.8357
local memory address entropy -- 5 LSBs skipped,10.2735
local memory address entropy -- 6 LSBs skipped,9.76691
local memory address entropy -- 7 LSBs skipped,9.25678
local memory address entropy -- 8 LSBs skipped,8.74254
local memory address entropy -- 9 LSBs skipped,8.22548
local memory address entropy -- 10 LSBs skipped,7.70961
total unique branch instructions,0
90% branch instructions,0
branch entropy (yokota),0
branch entropy (average linear),-nan
