Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
118,60,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,Cray Inc.,United Kingdom,2016,Research,89856,,2802,3019,1348,Derived,2,Derived,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,49064,178752
119,84,Tianhe-2 LvLiang Solution,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P",LvLiang Cloud Computing Center,NUDT,China,2014,Industry,174720,153216,2071,3075,997,Submitted,2,,,,,,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),Tianhe-2 LvLiang,Tianhe-2 LvLiang,Custom Interconnect,TH Express-2,Eastern Asia,Asia,50546,178464
120,399,,"Huawei E9000 Blade Server, Xeon E5-2690v4 14C 2.6GHz, 40G Ethernet",Pharmaceutical Company ,Huawei,China,2017,Industry,29344,,820,1221,396,Submitted,2,,,29344,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Huawei E9000 Blade Server,Huawei Cluster,Gigabit Ethernet,40G Ethernet,Eastern Asia,Asia,50753,179302
121,103,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,2160,1670,2349,808,Submitted,2,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Eastern Europe,Europe,47634,178534
122,447,,"Huawei RH2288H V3 Cluster, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",Petroleum Company,Huawei,China,2017,Industry,26880,,764,1032,374,Submitted,2,,,26880,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Huawei RH2288H V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50754,179303
123,468,COMA (PACS-IX),"Cray CS300 1027GR, Intel Xeon E5-2670v2  10C 2.500GHz, Infiniband FDR, Intel Xeon Phi 7110P","Center for Computational Sciences, University of Tsukuba",Cray Inc.,Japan,2014,Academic,55664,47824,746,999,366,Submitted,2,,,,,,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Linux,Linux,Intel Xeon Phi 7110P,10,Intel Xeon E5 (IvyBridge),Cray CS300 1027GR,Cray CS300,Infiniband,Infiniband FDR,Eastern Asia,Asia,47529,178326
124,332,,"Huawei RH2288H V3 Cluster, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",Simulation Cloud Service A,Huawei,China,2017,Industry,33216,,889,1116,437,Submitted,2,,,33216,,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Huawei RH2288H V3 Cluster,Huawei Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50755,179308
125,180,Sekirei,"SGI ICE XA, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Tokyo/Institute for Solid State Physics,HPE,Japan,2015,Academic,38016,,1178,1521,581,Submitted,2,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia,49208,178526
126,62,TSUBAME 2.5,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology",NEC/HPE,Japan,2013,Academic,76032,59136,2785,5736,1399,Submitted,2,,,,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K20x,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia,47912,178249
127,80,Makman-2,"Dell PowerEdge R630, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",Saudi Aramco,Dell EMC,Saudi Arabia,2015,Industry,76032,,2250,3041,1134,Submitted,2,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Redhat Enterprise Linux 6.5,Linux,None,12,Intel Xeon E5 (Haswell),Dell PowerEdge R630,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Western Asia,Asia,48751,178606
128,29,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,Cray Inc.,Saudi Arabia,2015,Academic,196608,,5537,7235,2834,Submitted,2,,,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Asia,Asia,50205,178515
129,477,HiperGator 2.0,"PowerEdge C6320, Xeon E5-2698v3 16C 2.3GHz, Infiniband",University of Florida,Dell EMC,United States,2015,Academic,29184,,738,1074,384,Submitted,2,,,,,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Redhat Enterprise Linux 6.5,Linux,None,16,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband,North America,Americas,49751,178663
130,282,Conte,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Purdue University,HPE,United States,2013,Academic,77520,68400,977,1341,510,Submitted,2,,,,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas,48657,178084
131,360,,"Huawei RH5885H V3 Cluster, Xeon E7-4850v4 16C 2.1GHz, Infiniband FDR",Chinese Institute of Meteorology,Huawei,China,2017,Research,33280,,858,1118,448,Submitted,2,,,33280,,,Cluster,Xeon E7-4850v4 16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E7 (Broadwell),Huawei RH5885H V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50751,179291
132,50,SORA-MA,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2",Japan Aerospace eXploration Agency,Fujitsu,Japan,2015,Research,110160,,3157,3481,1652,Derived,2,Derived,,,,,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,50187,178554
133,77,Plasma Simulator,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2",National Institute for Fusion Science (NIFS),Fujitsu,Japan,2015,Research,82944,,2376,2621,1244,Derived,2,Derived,,,,,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,48476,178553
134,275,HOKUSAI GreatWave,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","Advanced Center for Computing and Communication, RIKEN",Fujitsu,Japan,2015,Research,34560,,990,1092,518,Derived,2,Derived,,,,,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,50577,178572
135,276,,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","Meteorological Research Institute, Japan Meteorological Agency",Fujitsu,Japan,2015,Research,34560,,990,1092,518,Derived,2,Derived,,,,,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia,48358,178559
136,58,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,86016,,2814,3578,1481,Submitted,2,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Western Europe,Europe,48248,178544
137,259,EAGLE,"Huawei E9000 Blade Server, Xeon E5-2697v3 14C 2.6GHz, 56G Infiniband FDR",PCSS Poznan,Huawei,Poland,2015,Academic,32984,,1014,1372,550,Submitted,2,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Huawei E9000 Blade Server,Huawei Cluster,Infiniband,56G Infiniband FDR,Eastern Europe,Europe,50183,178748
138,163,Sisu,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2014,Academic,40608,,1250,1689,680,Submitted,2,,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47508,177826
139,69,cascade,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",DOE/SC/Pacific Northwest National Laboratory,Atipa,United States,2013,Research,194616,171720,2539,3388,1384,Submitted,2,,,,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Atipa Visione IF442 Blade Server,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas,48611,178250
140,475,Numerical Materials Simulator,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",National Institute for Materials Science,HPE,Japan,2015,Research,25056,,742,1002,405,Submitted,2,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia,49749,178528
141,483,,"HC2000 Cluster, Xeon E5-2620v3 6C 2.4GHz, Infiniband FDR, NVIDIA Tesla K40",Government,Sugon,China,2016,Government,14400,12000,731,1236,400,Submitted,2,,,,,,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,NVIDIA Tesla K40,6,Intel Xeon E5 (Haswell),HC2000 Cluster,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50605,178988
142,90,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Commissariat a l'Energie Atomique (CEA),Bull,France,2016,Research,70272,,1871,2586,1042,Submitted,2,,,,,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Bullx Linux,Linux,None,16,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,47593,178790
143,245,Taurus,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","TU Dresden, ZIH",Bull,Germany,2015,Academic,34656,,1030,1386,582,Submitted,2,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50565,178555
144,442,ForHLR II,"Lenovo NeXtScale nx360M5, Xeon E5-2660v3 10C 2.6GHz, Infiniband EDR/FDR",Karlsruher Institut für Technologie (KIT) ,Lenovo,Germany,2016,Academic,22960,,768,955,435,Submitted,2,,,,,,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Infiniband,Infiniband EDR/FDR,Western Europe,Europe,50444,178840
145,75,Miri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray Inc.,"Korea, South",2015,Research,69600,,2396,2895,1359,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48217,178612
146,76,Nuri,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Korea Meteorological Administration,Cray Inc.,"Korea, South",2015,Research,69600,,2396,2895,1359,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48217,178611
147,70,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),Bull,France,2016,Academic,85824,,2495,3570,1430,Submitted,2,,,85824,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50203,179092
148,256,Lonestar 5,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Texas Advanced Computing Center/Univ. of Texas,Cray Inc.,United States,2015,Academic,30048,,1017,1250,587,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48958,178615
149,132,Luna,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray Inc.,United States,2015,Research,48960,,1635,2037,956,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48437,178614
150,133,Surge,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray Inc.,United States,2015,Research,48960,,1635,2037,956,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48437,178613
151,71,Excalibur,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),Cray Inc.,United States,2014,Government,100064,,2485,3682,1466,Derived,2,Derived,,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,50423,178447
152,274,PVideo-B,"Sugon I620, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2017,Industry,60000,,991,2016,600,Submitted,2,,,6000,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50707,179193
153,217,Magnus,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Pawsey Supercomputing Centre, Kensington, Western Australia",Cray Inc.,Australia,2014,Research,35712,,1098,1486,698,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Australia and New Zealand,Oceania,50488,178449
154,27,Hazel Hen,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ",HLRS - Höchstleistungsrechenzentrum Stuttgart,Cray Inc.,Germany,2015,Research,185088,,5640,7404,3615,Derived,2,Derived,,,,,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,50543,178446
155,320,OKEANOS,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Cray Inc.,Poland,2016,Academic,26016,,910,1082,585,Derived,2,Derived,,,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Europe,Europe,49655,178753
156,218,Cartesius 2,"Bullx DLC B710/B720 Blades, Xeon E5-2695 v2 2.4GHz E5-2690v3 2.6GHz, Infiniband FDR",SURFsara,Bull,Netherlands,2015,Academic,38880,,1089,1327,706,Submitted,2,,,,,,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,bullx SCS,Linux,None,12,Intel Xeon E5 (Haswell),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50498,178551
157,246,Lengau,"PowerEdge C6320, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Centre for High Performance Computing,Dell EMC,South Africa,2016,Academic,32856,,1029,1367,685,Submitted,2,,,32856,,,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Southern Africa,Africa,50165,178793
158,327,SERC,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","Supercomputer Education and Research Centre (SERC), Indian Institute of Science",Cray Inc.,India,2015,Academic,31104,,902,1244,608,Derived,1,Derived,,,,,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50560,178517
159,380,CMCluster2,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,45600,,828,1678,570,Submitted,1,,,45600,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50593,179401
160,485,CMCluster,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,40320,,731,1484,504,Submitted,1,,,40320,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50593,179405
161,247,Pdata-1,"Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Service (B),Sugon,China,2017,Industry,58800,,1028,2070,735,Submitted,1,,,58800,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50330,179191
162,375,ComputeSystem,"Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet", IT Service Provider,Sugon,China,2017,Industry,48000,,833,1690,600,Submitted,1,,,48000,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50741,179258
163,242,datalearningsystem,"Sugon W740, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P40, 10G Ethernet",Internet Company,Sugon,China,2017,Industry,210000,150000,1036,2112,750,Submitted,1,,,60000,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P40,12,Intel Xeon E5 (Broadwell),Sugon W740,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50742,179261
164,164,CTRtraning,"Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Service (B),Sugon,China,2017,Industry,72000,,1242,2534,900,Submitted,1,,,72000,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50330,179189
165,311,IT-su,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,54000,,931,1901,675,Submitted,1,,,54000,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50761,179392
166,473,video_system,"Sugon W580-G20, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Company (I),Sugon,China,2018,Industry,43200,,742,1521,540,Submitted,1,,,43200,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon W580-G20,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50766,179407
167,478,Earth System Numerical Simulator,"Sugon Cluster TC4600E, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","LASG/Institute of Atmospheric Physics, CAS",Sugon,China,2015,Academic,24912,,738,996,540,Submitted,1,,,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Sugon Cluster TC4600E,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,49542,178562
168,257,IT-byte,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,60000,,1015,2112,750,Submitted,1,,,60000,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50743,179389
169,24,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,241108,,5952,7107,4407,Submitted,1,,1,,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,48408,177259
170,398,VDSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,48000,,822,1690,620,Submitted,1,,,48000,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50760,179387
171,294,netsystem,"Sugon I620, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet", IT Service Provider,Sugon,China,2017,Industry,50400,,954,1935,720,Submitted,1,,,50400,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,Linux,None,14,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50741,179257
172,363,,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,51200,,842,1720,640,Submitted,1,,,51200,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50760,179390
173,465,,"FusionServer CH140 V3 Cluster, Xeon E5-2680 v4/E5-2680v3 12C 2.5GHz, Infiniband FDR",Manufacturing Company A,Huawei,Germany,2016,Industry,35480,,748,1419,574,Submitted,1,,,35480,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),FusionServer CH140 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Western Europe,Europe,50689,178996
174,480,,"Sugon TC6000, Xeon E5-2690v4 14C 2.6GHz, 10G Ethernet",Government,Sugon,China,2016,Government,35840,,735,1491,576,Submitted,1,,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,CentOS,Linux,None,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50683,178989
175,30,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",Total Exploration Production,HPE,France,2013,Industry,220800,,5283,6712,4150,Submitted,1,,1,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Western Europe,Europe,49546,178071
