metric,count
opcode,10
total instruction count,20987392
workitems,7328
operand sum,2.09874e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.76477e-08
barriers per instruction,4.76477e-08
instructions per operand,1
total memory footprint,58760
90% memory footprint,45823
global memory address entropy,14.3503
local memory address entropy -- 1 LSBs skipped,14.35
local memory address entropy -- 2 LSBs skipped,14.35
local memory address entropy -- 3 LSBs skipped,13.3684
local memory address entropy -- 4 LSBs skipped,12.3952
local memory address entropy -- 5 LSBs skipped,11.4498
local memory address entropy -- 6 LSBs skipped,10.5593
local memory address entropy -- 7 LSBs skipped,10.5593
local memory address entropy -- 8 LSBs skipped,10.5593
local memory address entropy -- 9 LSBs skipped,10.5593
local memory address entropy -- 10 LSBs skipped,10.5593
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218947
