metric,count
opcode,8
total instruction count,4403229696
workitems,12616704
operand sum,4.40323e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.27106e-10
barriers per instruction,2.27106e-10
instructions per operand,1
total memory footprint,6393600
90% memory footprint,80276
global memory address entropy,15.4415
local memory address entropy -- 1 LSBs skipped,16.3591
local memory address entropy -- 2 LSBs skipped,16.3591
local memory address entropy -- 3 LSBs skipped,16.7228
local memory address entropy -- 4 LSBs skipped,15.0331
local memory address entropy -- 5 LSBs skipped,14.0548
local memory address entropy -- 6 LSBs skipped,13.0453
local memory address entropy -- 7 LSBs skipped,12.4817
local memory address entropy -- 8 LSBs skipped,11.9325
local memory address entropy -- 9 LSBs skipped,11.3941
local memory address entropy -- 10 LSBs skipped,10.8448
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
