metric,count
opcode,10
total instruction count,13655552
workitems,4768
operand sum,1.36556e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.32303e-08
barriers per instruction,7.32303e-08
instructions per operand,1
total memory footprint,38280
90% memory footprint,29863
global memory address entropy,13.8916
local memory address entropy -- 1 LSBs skipped,13.8899
local memory address entropy -- 2 LSBs skipped,13.8899
local memory address entropy -- 3 LSBs skipped,12.9061
local memory address entropy -- 4 LSBs skipped,11.9344
local memory address entropy -- 5 LSBs skipped,10.9894
local memory address entropy -- 6 LSBs skipped,10.0987
local memory address entropy -- 7 LSBs skipped,10.0987
local memory address entropy -- 8 LSBs skipped,10.0987
local memory address entropy -- 9 LSBs skipped,10.0987
local memory address entropy -- 10 LSBs skipped,10.0987
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218944
