metric,count
opcode,1
total instruction count,5189188864
workitems,14868736
operand sum,5.18919e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.92708e-10
barriers per instruction,1.92708e-10
instructions per operand,1
total memory footprint,7526912
90% memory footprint,87146
global memory address entropy,15.533
local memory address entropy -- 1 LSBs skipped,15.9024
local memory address entropy -- 2 LSBs skipped,15.9024
local memory address entropy -- 3 LSBs skipped,15.325
local memory address entropy -- 4 LSBs skipped,15.3313
local memory address entropy -- 5 LSBs skipped,14.3283
local memory address entropy -- 6 LSBs skipped,13.0949
local memory address entropy -- 7 LSBs skipped,12.605
local memory address entropy -- 8 LSBs skipped,12.0479
local memory address entropy -- 9 LSBs skipped,11.5263
local memory address entropy -- 10 LSBs skipped,10.999
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
