metric,count
opcode,8
total instruction count,2799058176
workitems,8020224
operand sum,2.79906e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.57263e-10
barriers per instruction,3.57263e-10
instructions per operand,1
total memory footprint,4078080
90% memory footprint,64004
global memory address entropy,15.102
local memory address entropy -- 1 LSBs skipped,16.0905
local memory address entropy -- 2 LSBs skipped,16.0905
local memory address entropy -- 3 LSBs skipped,15.8987
local memory address entropy -- 4 LSBs skipped,14.4895
local memory address entropy -- 5 LSBs skipped,13.6823
local memory address entropy -- 6 LSBs skipped,12.6118
local memory address entropy -- 7 LSBs skipped,12.0953
local memory address entropy -- 8 LSBs skipped,11.5896
local memory address entropy -- 9 LSBs skipped,11.0544
local memory address entropy -- 10 LSBs skipped,10.532
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
