metric,count
opcode,8
total instruction count,2344743936
workitems,6718464
operand sum,2.34474e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.26486e-10
barriers per instruction,4.26486e-10
instructions per operand,1
total memory footprint,3421440
90% memory footprint,58580
global memory address entropy,14.9725
local memory address entropy -- 1 LSBs skipped,15.8906
local memory address entropy -- 2 LSBs skipped,15.8906
local memory address entropy -- 3 LSBs skipped,15.6053
local memory address entropy -- 4 LSBs skipped,14.5408
local memory address entropy -- 5 LSBs skipped,13.4624
local memory address entropy -- 6 LSBs skipped,12.4833
local memory address entropy -- 7 LSBs skipped,11.9662
local memory address entropy -- 8 LSBs skipped,11.442
local memory address entropy -- 9 LSBs skipped,10.9212
local memory address entropy -- 10 LSBs skipped,10.4021
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
