metric,count
opcode,10
total instruction count,16221696
workitems,5664
operand sum,1.62217e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.16458e-08
barriers per instruction,6.16458e-08
instructions per operand,1
total memory footprint,45448
90% memory footprint,35449
global memory address entropy,14.0735
local memory address entropy -- 1 LSBs skipped,14.0743
local memory address entropy -- 2 LSBs skipped,14.0743
local memory address entropy -- 3 LSBs skipped,13.0897
local memory address entropy -- 4 LSBs skipped,12.1188
local memory address entropy -- 5 LSBs skipped,11.1736
local memory address entropy -- 6 LSBs skipped,10.2834
local memory address entropy -- 7 LSBs skipped,10.2834
local memory address entropy -- 8 LSBs skipped,10.2834
local memory address entropy -- 9 LSBs skipped,10.2834
local memory address entropy -- 10 LSBs skipped,10.2834
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218945
