metric,count
opcode,8
total instruction count,65131776
workitems,186624
operand sum,6.51318e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.53535e-08
barriers per instruction,1.53535e-08
instructions per operand,1
total memory footprint,103680
90% memory footprint,9764
global memory address entropy,13.802
local memory address entropy -- 1 LSBs skipped,13.7802
local memory address entropy -- 2 LSBs skipped,13.7802
local memory address entropy -- 3 LSBs skipped,12.7725
local memory address entropy -- 4 LSBs skipped,11.7663
local memory address entropy -- 5 LSBs skipped,10.7686
local memory address entropy -- 6 LSBs skipped,9.76944
local memory address entropy -- 7 LSBs skipped,9.23935
local memory address entropy -- 8 LSBs skipped,8.6849
local memory address entropy -- 9 LSBs skipped,8.21428
local memory address entropy -- 10 LSBs skipped,7.62967
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
