metric,count
opcode,10
total instruction count,16496640
workitems,5760
operand sum,1.64966e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.06184e-08
barriers per instruction,6.06184e-08
instructions per operand,1
total memory footprint,46216
90% memory footprint,36047
global memory address entropy,14.0916
local memory address entropy -- 1 LSBs skipped,14.0923
local memory address entropy -- 2 LSBs skipped,14.0923
local memory address entropy -- 3 LSBs skipped,13.11
local memory address entropy -- 4 LSBs skipped,12.1361
local memory address entropy -- 5 LSBs skipped,11.1915
local memory address entropy -- 6 LSBs skipped,10.3014
local memory address entropy -- 7 LSBs skipped,10.3014
local memory address entropy -- 8 LSBs skipped,10.3014
local memory address entropy -- 9 LSBs skipped,10.3014
local memory address entropy -- 10 LSBs skipped,10.3014
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218945
