metric,count
opcode,8
total instruction count,241586176
workitems,692224
operand sum,2.41586e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.13931e-09
barriers per instruction,4.13931e-09
instructions per operand,1
total memory footprint,366080
90% memory footprint,18804
global memory address entropy,14.7654
local memory address entropy -- 1 LSBs skipped,14.7655
local memory address entropy -- 2 LSBs skipped,14.7655
local memory address entropy -- 3 LSBs skipped,13.796
local memory address entropy -- 4 LSBs skipped,12.7863
local memory address entropy -- 5 LSBs skipped,11.774
local memory address entropy -- 6 LSBs skipped,10.7716
local memory address entropy -- 7 LSBs skipped,10.2408
local memory address entropy -- 8 LSBs skipped,9.7212
local memory address entropy -- 9 LSBs skipped,9.20818
local memory address entropy -- 10 LSBs skipped,8.71189
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
