metric,count
opcode,8
total instruction count,7236864
workitems,20736
operand sum,7.23686e+06
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.38181e-07
barriers per instruction,1.38181e-07
instructions per operand,1
total memory footprint,13824
90% memory footprint,3255
global memory address entropy,12.0937
local memory address entropy -- 1 LSBs skipped,12.0913
local memory address entropy -- 2 LSBs skipped,12.0913
local memory address entropy -- 3 LSBs skipped,11.0899
local memory address entropy -- 4 LSBs skipped,10.0907
local memory address entropy -- 5 LSBs skipped,9.09087
local memory address entropy -- 6 LSBs skipped,8.09086
local memory address entropy -- 7 LSBs skipped,7.57052
local memory address entropy -- 8 LSBs skipped,7.10206
local memory address entropy -- 9 LSBs skipped,6.69167
local memory address entropy -- 10 LSBs skipped,6.41898
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
