metric,count
opcode,8
total instruction count,586185984
workitems,1679616
operand sum,5.86186e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.70594e-09
barriers per instruction,1.70594e-09
instructions per operand,1
total memory footprint,870912
90% memory footprint,29290
global memory address entropy,15.6484
local memory address entropy -- 1 LSBs skipped,15.5494
local memory address entropy -- 2 LSBs skipped,15.5494
local memory address entropy -- 3 LSBs skipped,14.3976
local memory address entropy -- 4 LSBs skipped,13.4315
local memory address entropy -- 5 LSBs skipped,12.4382
local memory address entropy -- 6 LSBs skipped,11.4422
local memory address entropy -- 7 LSBs skipped,10.9149
local memory address entropy -- 8 LSBs skipped,10.3927
local memory address entropy -- 9 LSBs skipped,9.87163
local memory address entropy -- 10 LSBs skipped,9.33875
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
