metric,count
opcode,10
total instruction count,7973376
workitems,2784
operand sum,7.97338e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.25417e-07
barriers per instruction,1.25417e-07
instructions per operand,1
total memory footprint,22408
90% memory footprint,17493
global memory address entropy,13.3142
local memory address entropy -- 1 LSBs skipped,13.3142
local memory address entropy -- 2 LSBs skipped,13.3142
local memory address entropy -- 3 LSBs skipped,12.3302
local memory address entropy -- 4 LSBs skipped,11.3579
local memory address entropy -- 5 LSBs skipped,10.4133
local memory address entropy -- 6 LSBs skipped,9.52263
local memory address entropy -- 7 LSBs skipped,9.52263
local memory address entropy -- 8 LSBs skipped,9.52264
local memory address entropy -- 9 LSBs skipped,9.52264
local memory address entropy -- 10 LSBs skipped,9.52264
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218936
