metric,count
opcode,10
total instruction count,4674048
workitems,1632
operand sum,4.67405e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.13947e-07
barriers per instruction,2.13947e-07
instructions per operand,1
total memory footprint,13192
90% memory footprint,10311
global memory address entropy,12.7421
local memory address entropy -- 1 LSBs skipped,12.742
local memory address entropy -- 2 LSBs skipped,12.742
local memory address entropy -- 3 LSBs skipped,11.7584
local memory address entropy -- 4 LSBs skipped,10.7859
local memory address entropy -- 5 LSBs skipped,9.84102
local memory address entropy -- 6 LSBs skipped,8.9505
local memory address entropy -- 7 LSBs skipped,8.9505
local memory address entropy -- 8 LSBs skipped,8.9505
local memory address entropy -- 9 LSBs skipped,8.95051
local memory address entropy -- 10 LSBs skipped,8.9505
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218923
