metric,count
opcode,10
total instruction count,5315584
workitems,1856
operand sum,5.31558e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.88126e-07
barriers per instruction,1.88126e-07
instructions per operand,1
total memory footprint,14984
90% memory footprint,11708
global memory address entropy,12.8797
local memory address entropy -- 1 LSBs skipped,12.8801
local memory address entropy -- 2 LSBs skipped,12.8801
local memory address entropy -- 3 LSBs skipped,11.8956
local memory address entropy -- 4 LSBs skipped,10.9237
local memory address entropy -- 5 LSBs skipped,9.97873
local memory address entropy -- 6 LSBs skipped,9.08817
local memory address entropy -- 7 LSBs skipped,9.08817
local memory address entropy -- 8 LSBs skipped,9.08817
local memory address entropy -- 9 LSBs skipped,9.08819
local memory address entropy -- 10 LSBs skipped,9.08819
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218927
