metric,count
opcode,8
total instruction count,142950400
workitems,409600
operand sum,1.4295e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.99543e-09
barriers per instruction,6.99543e-09
instructions per operand,1
total memory footprint,220160
90% memory footprint,14464
global memory address entropy,14.4562
local memory address entropy -- 1 LSBs skipped,14.413
local memory address entropy -- 2 LSBs skipped,14.413
local memory address entropy -- 3 LSBs skipped,13.3509
local memory address entropy -- 4 LSBs skipped,12.3746
local memory address entropy -- 5 LSBs skipped,11.3685
local memory address entropy -- 6 LSBs skipped,10.3676
local memory address entropy -- 7 LSBs skipped,9.84034
local memory address entropy -- 8 LSBs skipped,9.32404
local memory address entropy -- 9 LSBs skipped,8.81704
local memory address entropy -- 10 LSBs skipped,8.33274
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
