metric,count
opcode,8
total instruction count,12865536
workitems,36864
operand sum,1.28655e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.7727e-08
barriers per instruction,7.7727e-08
instructions per operand,1
total memory footprint,43008
90% memory footprint,5876
global memory address entropy,13.0527
local memory address entropy -- 1 LSBs skipped,13.0573
local memory address entropy -- 2 LSBs skipped,13.0573
local memory address entropy -- 3 LSBs skipped,12.0591
local memory address entropy -- 4 LSBs skipped,11.0611
local memory address entropy -- 5 LSBs skipped,10.3078
local memory address entropy -- 6 LSBs skipped,9.4534
local memory address entropy -- 7 LSBs skipped,8.74923
local memory address entropy -- 8 LSBs skipped,8.13799
local memory address entropy -- 9 LSBs skipped,7.51241
local memory address entropy -- 10 LSBs skipped,6.81489
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
