metric,count
opcode,10
total instruction count,1283072
workitems,448
operand sum,1.28307e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.79379e-07
barriers per instruction,7.79379e-07
instructions per operand,1
total memory footprint,7424
90% memory footprint,6083
global memory address entropy,12.3811
local memory address entropy -- 1 LSBs skipped,12.3817
local memory address entropy -- 2 LSBs skipped,12.3817
local memory address entropy -- 3 LSBs skipped,11.382
local memory address entropy -- 4 LSBs skipped,10.3826
local memory address entropy -- 5 LSBs skipped,9.65801
local memory address entropy -- 6 LSBs skipped,8.86382
local memory address entropy -- 7 LSBs skipped,8.16647
local memory address entropy -- 8 LSBs skipped,7.56964
local memory address entropy -- 9 LSBs skipped,7.00348
local memory address entropy -- 10 LSBs skipped,6.36726
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218823
