metric,count
opcode,10
total instruction count,733184
workitems,256
operand sum,733184
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.36391e-06
barriers per instruction,1.36391e-06
instructions per operand,1
total memory footprint,4352
90% memory footprint,3586
global memory address entropy,11.78
local memory address entropy -- 1 LSBs skipped,11.7798
local memory address entropy -- 2 LSBs skipped,11.7798
local memory address entropy -- 3 LSBs skipped,10.7798
local memory address entropy -- 4 LSBs skipped,9.78025
local memory address entropy -- 5 LSBs skipped,9.07981
local memory address entropy -- 6 LSBs skipped,8.29036
local memory address entropy -- 7 LSBs skipped,7.63253
local memory address entropy -- 8 LSBs skipped,7.10871
local memory address entropy -- 9 LSBs skipped,6.64201
local memory address entropy -- 10 LSBs skipped,6.05223
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218725
