metric,count
opcode,10
total instruction count,824832
workitems,288
operand sum,824832
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.21237e-06
barriers per instruction,1.21237e-06
instructions per operand,1
total memory footprint,4864
90% memory footprint,4002
global memory address entropy,11.9061
local memory address entropy -- 1 LSBs skipped,11.9064
local memory address entropy -- 2 LSBs skipped,11.9064
local memory address entropy -- 3 LSBs skipped,10.9066
local memory address entropy -- 4 LSBs skipped,9.90703
local memory address entropy -- 5 LSBs skipped,9.20755
local memory address entropy -- 6 LSBs skipped,8.41897
local memory address entropy -- 7 LSBs skipped,7.76165
local memory address entropy -- 8 LSBs skipped,7.23664
local memory address entropy -- 9 LSBs skipped,6.73272
local memory address entropy -- 10 LSBs skipped,6.11904
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218751
