metric,count
opcode,11
total instruction count,23298048
workitems,32768
operand sum,3.06708e+07
total # of barriers hit,0
min instructions to barrier,711
max instructions to barrier,711
median instructions to barrier,711
max simd width,2
mean simd width,1.31646
stdev simd width,0.465093
granularity,4.29221e-08
barriers per instruction,4.29221e-08
instructions per operand,0.759615
total memory footprint,262145
90% memory footprint,211355
global memory address entropy,10.2743
local memory address entropy -- 1 LSBs skipped,10.2759
local memory address entropy -- 2 LSBs skipped,10.2759
local memory address entropy -- 3 LSBs skipped,10.2759
local memory address entropy -- 4 LSBs skipped,9.7652
local memory address entropy -- 5 LSBs skipped,9.25678
local memory address entropy -- 6 LSBs skipped,8.74254
local memory address entropy -- 7 LSBs skipped,8.22548
local memory address entropy -- 8 LSBs skipped,7.70961
local memory address entropy -- 9 LSBs skipped,7.19267
local memory address entropy -- 10 LSBs skipped,6.67668
total unique branch instructions,0
90% branch instructions,0
branch entropy (yokota),0
branch entropy (average linear),-nan
