metric,count
opcode,10
total instruction count,47289442
workitems,8960
operand sum,4.72894e+07
total # of barriers hit,152320
min instructions to barrier,3
max instructions to barrier,8014
median instructions to barrier,154
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.11464e-08
barriers per instruction,0.00322104
instructions per operand,1
total memory footprint,198364
90% memory footprint,977
global memory address entropy,7.04876
local memory address entropy -- 1 LSBs skipped,7.05464
local memory address entropy -- 2 LSBs skipped,7.05464
local memory address entropy -- 3 LSBs skipped,6.3562
local memory address entropy -- 4 LSBs skipped,5.6072
local memory address entropy -- 5 LSBs skipped,4.9196
local memory address entropy -- 6 LSBs skipped,4.21566
local memory address entropy -- 7 LSBs skipped,3.32168
local memory address entropy -- 8 LSBs skipped,2.96963
local memory address entropy -- 9 LSBs skipped,2.59437
local memory address entropy -- 10 LSBs skipped,2.14454
total unique branch instructions,25
90% branch instructions,10
branch entropy (yokota),177.212
branch entropy (average linear),0.198576
