metric,count
opcode,10
total instruction count,733184
workitems,256
operand sum,733184
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.36391e-06
barriers per instruction,1.36391e-06
instructions per operand,1
total memory footprint,2184
90% memory footprint,1733
global memory address entropy,10.7575
local memory address entropy -- 1 LSBs skipped,10.7576
local memory address entropy -- 2 LSBs skipped,10.7576
local memory address entropy -- 3 LSBs skipped,9.77375
local memory address entropy -- 4 LSBs skipped,8.80179
local memory address entropy -- 5 LSBs skipped,7.85689
local memory address entropy -- 6 LSBs skipped,6.96639
local memory address entropy -- 7 LSBs skipped,6.96639
local memory address entropy -- 8 LSBs skipped,6.96639
local memory address entropy -- 9 LSBs skipped,6.96639
local memory address entropy -- 10 LSBs skipped,6.8334
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218756
