metric,count
opcode,10
total instruction count,91648
workitems,32
operand sum,91648
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.09113e-05
barriers per instruction,1.09113e-05
instructions per operand,1
total memory footprint,392
90% memory footprint,328
global memory address entropy,8.53038
local memory address entropy -- 1 LSBs skipped,8.53036
local memory address entropy -- 2 LSBs skipped,8.53036
local memory address entropy -- 3 LSBs skipped,7.54644
local memory address entropy -- 4 LSBs skipped,6.57448
local memory address entropy -- 5 LSBs skipped,5.62959
local memory address entropy -- 6 LSBs skipped,4.73908
local memory address entropy -- 7 LSBs skipped,4.73908
local memory address entropy -- 8 LSBs skipped,4.73908
local memory address entropy -- 9 LSBs skipped,4.73908
local memory address entropy -- 10 LSBs skipped,4.63223
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),79.4672
branch entropy (average linear),0.21734
