metric,count
opcode,8
total instruction count,51462144
workitems,147456
operand sum,5.14621e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.94318e-08
barriers per instruction,1.94318e-08
instructions per operand,1
total memory footprint,159744
90% memory footprint,11751
global memory address entropy,14.133
local memory address entropy -- 1 LSBs skipped,12.1587
local memory address entropy -- 2 LSBs skipped,12.1587
local memory address entropy -- 3 LSBs skipped,12.1587
local memory address entropy -- 4 LSBs skipped,12.1587
local memory address entropy -- 5 LSBs skipped,11.314
local memory address entropy -- 6 LSBs skipped,10.5775
local memory address entropy -- 7 LSBs skipped,10.0419
local memory address entropy -- 8 LSBs skipped,9.30463
local memory address entropy -- 9 LSBs skipped,8.70034
local memory address entropy -- 10 LSBs skipped,8.19645
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
