metric,count
opcode,8
total instruction count,600749056
workitems,1721344
operand sum,6.00749e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.66459e-09
barriers per instruction,1.66459e-09
instructions per operand,1
total memory footprint,1763328
90% memory footprint,40148
global memory address entropy,16
local memory address entropy -- 1 LSBs skipped,13.9909
local memory address entropy -- 2 LSBs skipped,13.9909
local memory address entropy -- 3 LSBs skipped,13.9909
local memory address entropy -- 4 LSBs skipped,13.9909
local memory address entropy -- 5 LSBs skipped,13.1597
local memory address entropy -- 6 LSBs skipped,12.4513
local memory address entropy -- 7 LSBs skipped,11.9223
local memory address entropy -- 8 LSBs skipped,11.162
local memory address entropy -- 9 LSBs skipped,10.5308
local memory address entropy -- 10 LSBs skipped,9.93182
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
