metric,count
opcode,10
total instruction count,7056896
workitems,2464
operand sum,7.0569e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.41705e-07
barriers per instruction,1.41705e-07
instructions per operand,1
total memory footprint,39680
90% memory footprint,32302
global memory address entropy,14.2145
local memory address entropy -- 1 LSBs skipped,12.28
local memory address entropy -- 2 LSBs skipped,12.28
local memory address entropy -- 3 LSBs skipped,12.28
local memory address entropy -- 4 LSBs skipped,12.28
local memory address entropy -- 5 LSBs skipped,11.4606
local memory address entropy -- 6 LSBs skipped,10.8408
local memory address entropy -- 7 LSBs skipped,9.8558
local memory address entropy -- 8 LSBs skipped,9.48058
local memory address entropy -- 9 LSBs skipped,9.09624
local memory address entropy -- 10 LSBs skipped,8.69692
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.21893
