metric,count
opcode,8
total instruction count,529720576
workitems,1517824
operand sum,5.29721e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.88779e-09
barriers per instruction,1.88779e-09
instructions per operand,1
total memory footprint,1557248
90% memory footprint,37700
global memory address entropy,15.8935
local memory address entropy -- 1 LSBs skipped,13.9714
local memory address entropy -- 2 LSBs skipped,13.9714
local memory address entropy -- 3 LSBs skipped,13.9714
local memory address entropy -- 4 LSBs skipped,13.9714
local memory address entropy -- 5 LSBs skipped,13.0868
local memory address entropy -- 6 LSBs skipped,12.3413
local memory address entropy -- 7 LSBs skipped,11.3842
local memory address entropy -- 8 LSBs skipped,10.8478
local memory address entropy -- 9 LSBs skipped,10.3289
local memory address entropy -- 10 LSBs skipped,9.81293
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
