metric,count
opcode,8
total instruction count,80409600
workitems,230400
operand sum,8.04096e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.24363e-08
barriers per instruction,1.24363e-08
instructions per operand,1
total memory footprint,245760
90% memory footprint,14688
global memory address entropy,14.4882
local memory address entropy -- 1 LSBs skipped,12.4896
local memory address entropy -- 2 LSBs skipped,12.4896
local memory address entropy -- 3 LSBs skipped,12.4896
local memory address entropy -- 4 LSBs skipped,12.4896
local memory address entropy -- 5 LSBs skipped,11.6489
local memory address entropy -- 6 LSBs skipped,10.9155
local memory address entropy -- 7 LSBs skipped,10.3814
local memory address entropy -- 8 LSBs skipped,9.63968
local memory address entropy -- 9 LSBs skipped,9.02688
local memory address entropy -- 10 LSBs skipped,8.50419
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
