metric,count
opcode,8
total instruction count,357376
workitems,1024
operand sum,357376
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.79817e-06
barriers per instruction,2.79817e-06
instructions per operand,1
total memory footprint,2048
90% memory footprint,980
global memory address entropy,10.3232
local memory address entropy -- 1 LSBs skipped,8.38714
local memory address entropy -- 2 LSBs skipped,8.38714
local memory address entropy -- 3 LSBs skipped,8.38714
local memory address entropy -- 4 LSBs skipped,8.38714
local memory address entropy -- 5 LSBs skipped,7.59513
local memory address entropy -- 6 LSBs skipped,6.93671
local memory address entropy -- 7 LSBs skipped,6.44346
local memory address entropy -- 8 LSBs skipped,5.99174
local memory address entropy -- 9 LSBs skipped,5.75933
local memory address entropy -- 10 LSBs skipped,5.64312
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117641
