metric,count
opcode,10
total instruction count,6232064
workitems,2176
operand sum,6.23206e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.6046e-07
barriers per instruction,1.6046e-07
instructions per operand,1
total memory footprint,35072
90% memory footprint,28557
global memory address entropy,14.0845
local memory address entropy -- 1 LSBs skipped,12.1458
local memory address entropy -- 2 LSBs skipped,12.1458
local memory address entropy -- 3 LSBs skipped,12.1458
local memory address entropy -- 4 LSBs skipped,12.1458
local memory address entropy -- 5 LSBs skipped,11.327
local memory address entropy -- 6 LSBs skipped,10.7063
local memory address entropy -- 7 LSBs skipped,10.3297
local memory address entropy -- 8 LSBs skipped,9.64397
local memory address entropy -- 9 LSBs skipped,9.10648
local memory address entropy -- 10 LSBs skipped,8.64193
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218927
