metric,count
opcode,8
total instruction count,135892224
workitems,389376
operand sum,1.35892e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.35877e-09
barriers per instruction,7.35877e-09
instructions per operand,1
total memory footprint,409344
90% memory footprint,19095
global memory address entropy,15.0104
local memory address entropy -- 1 LSBs skipped,12.8932
local memory address entropy -- 2 LSBs skipped,12.8932
local memory address entropy -- 3 LSBs skipped,12.8932
local memory address entropy -- 4 LSBs skipped,12.8932
local memory address entropy -- 5 LSBs skipped,12.0567
local memory address entropy -- 6 LSBs skipped,11.315
local memory address entropy -- 7 LSBs skipped,10.3493
local memory address entropy -- 8 LSBs skipped,9.82347
local memory address entropy -- 9 LSBs skipped,9.31093
local memory address entropy -- 10 LSBs skipped,8.82536
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
