metric,count
opcode,10
total instruction count,5040640
workitems,1760
operand sum,5.04064e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.98388e-07
barriers per instruction,1.98388e-07
instructions per operand,1
total memory footprint,28416
90% memory footprint,23146
global memory address entropy,13.8539
local memory address entropy -- 1 LSBs skipped,11.9167
local memory address entropy -- 2 LSBs skipped,11.9167
local memory address entropy -- 3 LSBs skipped,11.9167
local memory address entropy -- 4 LSBs skipped,11.9167
local memory address entropy -- 5 LSBs skipped,11.0976
local memory address entropy -- 6 LSBs skipped,10.4751
local memory address entropy -- 7 LSBs skipped,9.49029
local memory address entropy -- 8 LSBs skipped,9.10982
local memory address entropy -- 9 LSBs skipped,8.7223
local memory address entropy -- 10 LSBs skipped,8.33243
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218921
