metric,count
opcode,10
total instruction count,2932736
workitems,1024
operand sum,2.93274e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.40979e-07
barriers per instruction,3.40979e-07
instructions per operand,1
total memory footprint,16640
90% memory footprint,13574
global memory address entropy,13.2717
local memory address entropy -- 1 LSBs skipped,11.3326
local memory address entropy -- 2 LSBs skipped,11.3326
local memory address entropy -- 3 LSBs skipped,11.3326
local memory address entropy -- 4 LSBs skipped,11.3326
local memory address entropy -- 5 LSBs skipped,10.5129
local memory address entropy -- 6 LSBs skipped,9.88447
local memory address entropy -- 7 LSBs skipped,9.49733
local memory address entropy -- 8 LSBs skipped,8.80625
local memory address entropy -- 9 LSBs skipped,8.26445
local memory address entropy -- 10 LSBs skipped,7.80039
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218897
