metric,count
opcode,10
total instruction count,5590528
workitems,1952
operand sum,5.59053e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.78874e-07
barriers per instruction,1.78874e-07
instructions per operand,1
total memory footprint,31488
90% memory footprint,25643
global memory address entropy,13.9643
local memory address entropy -- 1 LSBs skipped,12.0282
local memory address entropy -- 2 LSBs skipped,12.0282
local memory address entropy -- 3 LSBs skipped,12.0282
local memory address entropy -- 4 LSBs skipped,12.0282
local memory address entropy -- 5 LSBs skipped,11.2094
local memory address entropy -- 6 LSBs skipped,10.5878
local memory address entropy -- 7 LSBs skipped,9.6028
local memory address entropy -- 8 LSBs skipped,9.22471
local memory address entropy -- 9 LSBs skipped,8.83701
local memory address entropy -- 10 LSBs skipped,8.44572
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218924
