metric,count
opcode,8
total instruction count,39400704
workitems,112896
operand sum,3.94007e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.53803e-08
barriers per instruction,2.53803e-08
instructions per operand,1
total memory footprint,123648
90% memory footprint,10282
global memory address entropy,13.8708
local memory address entropy -- 1 LSBs skipped,11.9532
local memory address entropy -- 2 LSBs skipped,11.9532
local memory address entropy -- 3 LSBs skipped,11.9532
local memory address entropy -- 4 LSBs skipped,11.9532
local memory address entropy -- 5 LSBs skipped,11.1109
local memory address entropy -- 6 LSBs skipped,10.3724
local memory address entropy -- 7 LSBs skipped,9.41745
local memory address entropy -- 8 LSBs skipped,8.89991
local memory address entropy -- 9 LSBs skipped,8.40784
local memory address entropy -- 10 LSBs skipped,7.96947
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
